EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,GenderCode,,,.,,,,
3439,Bartholemew,Khemmich,25-May-22,27-Nov-22,Area Sales Manager,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,Splicer,Male,,,,,,,
3440,Xana,Potts,05-Dec-19,17-Feb-23,Area Sales Manager,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,Controller,Female,,,,,,,
3441,Prater,Jeremy,28-Apr-19,,Area Sales Manager,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Lineman,Male,,,,,,,
3442,Kaylah,Moon,09-Jul-19,16-Jun-22,Area Sales Manager,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,Laborer,Male,,,,,,,
3443,Kristen,Tate,05-Apr-21,12-May-23,Area Sales Manager,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,Coordinator,Male,,,,,,,
3444,Bobby,Rodgers,28-Nov-21,04-Feb-22,Area Sales Manager,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,Director,Male,,,,,,,
3445,Reid,Park,16-Jan-21,,Area Sales Manager,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Supervisor,Female,,,,,,,
3446,Hector,Dalton,24-Aug-21,,Area Sales Manager,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,Driller,Female,,,,,,,
3447,Mariela,Schultz,26-May-20,18-Jun-23,Area Sales Manager,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Sales,General - Con,Technician,Female,,,,,,,
3448,Angela,Molina,01-Oct-19,06-Nov-20,Area Sales Manager,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,Sales,Engineers,Specialist,Male,,,,,,,
3449,Gerald,Preston,10-May-23,27-May-23,Area Sales Manager,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Sales,General - Eng,Technician,Male,,,,,,,
3450,Reilly,Moyer,01-Sep-20,04-Dec-22,Area Sales Manager,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,Operator,Male,,,,,,,
3451,Carlee,French,18-Feb-21,11-Nov-22,Area Sales Manager,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,Technician,Male,,,,,,,
3452,Jaydon,Blackburn,08-Nov-22,,Area Sales Manager,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Foreman,Male,,,,,,,
3453,Bridger,Carter,13-Oct-22,,Area Sales Manager,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,Engineer,Male,,,,,,,
3454,Leon,Beard,11-Sep-22,,Area Sales Manager,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,Foreman,Male,,,,,,,
3455,Charity,Miranda,29-Jun-21,05-Jul-22,Area Sales Manager,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,Manager,Male,,,,,,,
3456,Axel,Howe,06-Mar-23,,Area Sales Manager,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,Technician,Female,,,,,,,
3457,Milton,Wall,25-Sep-20,,Area Sales Manager,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,Technician,Female,,,,,,,
3458,Cory,Robinson,28-Apr-22,24-May-23,Area Sales Manager,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Sales,Field Operations,Laborer,Female,,,,,,,
3459,Saniya,Yu,18-Apr-21,21-Jun-22,Area Sales Manager,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Sales,General - Con,Splicer,Male,,,,,,,
3460,Alisa,James,19-Feb-20,,Area Sales Manager,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,Lineman,Male,,,,,,,
3461,Lincoln,Compton,18-Jul-19,01-Oct-21,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Sales,General - Con,Foreman,Male,,,,,,,
3462,Aliana,Nolan,13-Sep-18,17-Sep-21,Area Sales Manager,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Sales,Field Operations,Coordinator,Male,,,,,,,
3463,Kayden,Dodson,30-Apr-20,18-Jul-21,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Tower Hand,Male,,,,,,,
3464,James,Duke,03-Dec-18,09-Sep-22,Area Sales Manager,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),Mechanic,Male,,,,,,,
3465,Willow,Stuart,08-Nov-21,,Area Sales Manager,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Flagger,Male,,,,,,,
3466,Clayton,Walker,13-Apr-22,10-Apr-23,Area Sales Manager,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,Supervisor,Male,,,,,,,
3467,Celia,Curtis,06-May-20,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Sales,Fielders,Engineer,Female,,,,,,,
3468,Valentin,Reilly,09-Sep-19,,Area Sales Manager,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,Foreman,Female,,,,,,,
3469,Ryland,Shepherd,29-Jul-20,05-Jan-23,Area Sales Manager,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Female,,,,,,,
3470,Esteban,Gilbert,14-Nov-18,28-Oct-19,Area Sales Manager,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Sales,Field Operations,Technician,Female,,,,,,,
3471,Jonathan,Adkins,29-Feb-20,,Area Sales Manager,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Foreman,Male,,,,,,,
3472,Nevaeh,Soto,15-Jan-23,,Area Sales Manager,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Director,Male,,,,,,,
3473,Chaim,Mata,29-Jun-23,,Area Sales Manager,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),Manager,Male,,,,,,,
3474,Arely,Patton,09-Mar-20,,Area Sales Manager,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Sales,Catv,Laborer,Male,,,,,,,
3475,Vance,Trujillo,21-Sep-21,13-Apr-23,Area Sales Manager,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Foreman,Male,,,,,,,
3476,Charlie,Koch,12-Jun-23,06-Jul-23,Area Sales Manager,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Sales,Fielders,Engineer,Male,,,,,,,
3477,Sonny,Horne,07-Apr-19,,Area Sales Manager,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,Laborer,Female,,,,,,,
3478,Thomas,Chandler,17-Sep-18,09-Jan-19,Area Sales Manager,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,Groundman,Female,,,,,,,
3479,Sarai,Stone,02-Aug-22,02-Apr-23,Area Sales Manager,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,Technician,Female,,,,,,,
3480,Jerimiah,Harmon,08-Sep-22,16-Oct-22,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Sales,Catv,Supervisor,Female,,,,,,,
3481,Leland,Allen,07-Mar-19,31-May-21,Area Sales Manager,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Sales,Wireline Construction,Splicer,Male,,,,,,,
3482,Cristal,Bolton,29-Oct-19,07-Feb-21,Area Sales Manager,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Sales,Catv,Lineman,Male,,,,,,,
3483,Jaslene,Harding,26-Sep-21,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,Coordinator,Male,,,,,,,
3484,Albert,Gonzalez,29-Aug-18,,Area Sales Manager,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,Model Assistant,Male,,,,,,,
3485,Jaiden,Johnson,26-Oct-21,,Area Sales Manager,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Sales,Field Operations,Laborer,Male,,,,,,,
3486,Brendon,Mcconnell,31-Oct-22,08-Jun-23,Area Sales Manager,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Sales,Fielders,Engineer,Male,,,,,,,
3487,Kimora,Parsons,15-Mar-23,,Area Sales Manager,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Sales,General - Sga,Administrator,Female,,,,,,,
3488,Willie,Patterson,09-Sep-22,,Area Sales Manager,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,Lineman,Female,,,,,,,
3489,Devyn,Powers,04-Mar-22,,Area Sales Manager,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Laborer,Female,,,,,,,
3490,Weston,Preston,11-Feb-19,,Area Sales Manager,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,Director,Female,,,,,,,
3491,Lennon,Buchanan,26-Jan-21,,Area Sales Manager,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Male,,,,,,,
3492,Vicente,Merritt,26-Nov-19,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,Clerk,Male,,,,,,,
3493,Hugo,Clay,15-Jul-19,,Area Sales Manager,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,Project Manager,Male,,,,,,,
3494,Cohen,Raymond,18-Jun-20,,Area Sales Manager,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Sales,General - Con,Technician,Male,,,,,,,
3495,Tia,Ellis,22-Jun-23,22-Jul-23,Area Sales Manager,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,Laborer,Male,,,,,,,
3496,Aspen,Bentley,02-Dec-21,,Area Sales Manager,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Sales,General - Sga,Administrator,Male,,,,,,,
3497,Graham,Rodriguez,08-Dec-21,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,Lineman,Female,,,,,,,
3498,Joel,Mcmillan,26-Apr-23,22-Jun-23,Area Sales Manager,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,Laborer,Female,,,,,,,
3499,Maci,Frost,25-Sep-18,20-Dec-21,Area Sales Manager,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Technician,Female,,,,,,,
3500,Nevaeh,Lucas,20-Nov-18,21-Jun-20,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),Mechanic,Female,,,,,,,
3501,Garrett,Zimmerman,30-Aug-20,30-Aug-22,Area Sales Manager,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Sales,General - Con,Technician,Male,,,,,,,
3502,Eugene,Marks,01-Oct-19,,Area Sales Manager,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Sales,Splicing,Electrician,Male,,,,,,,
3503,Geovanni,Pugh,20-Jan-22,,Area Sales Manager,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,Manager,Male,,,,,,,
3504,Javon,Kelley,10-Oct-21,,Area Sales Manager,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,Laborer,Male,,,,,,,
3505,Amaya,Hicks,29-Aug-20,,Area Sales Manager,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Sales,Field Operations,Groundman,Male,,,,,,,
3506,Laila,Woodard,27-Aug-19,10-May-23,Area Sales Manager,Jordan Vega,MSC,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,Technician,Male,,,,,,,
3507,Ivan,Huff,25-Feb-21,07-Apr-23,Area Sales Manager,John Miller,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,Manager,Male,,,,,,,
3508,Aidan,Harding,13-Jul-21,,Area Sales Manager,Trevor Adkins,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,Laborer,Male,,,,,,,
3509,Cruz,Boyer,14-Apr-21,,Area Sales Manager,Marcus Hunt,BPC,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,Project Controls,Female,,,,,,,
3510,Raven,Koch,10-Feb-20,,Area Sales Manager,Jennifer King,PYZ,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Laborer,Female,,,,,,,
3511,Karli,Barker,17-Aug-21,31-Dec-21,Area Sales Manager,Shawn Dudley,WBL,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,Director,Female,,,,,,,
3512,Tyrone,Sosa,17-Apr-23,22-Jun-23,Area Sales Manager,Lindsay Chang,NEL,Future Start,Contract,Zone C,Temporary,Sales,Yard (Material Handling),Coordinator,Female,,,,,,,
3513,Damaris,Cisneros,02-Sep-22,24-May-23,Area Sales Manager,Sharon Ruiz,PL,Future Start,Contract,Zone C,Temporary,Sales,General - Con,Laborer,Male,,,,,,,
3514,Alexus,Estes,15-Apr-20,,Area Sales Manager,April Randolph,BPC,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,Manager,Male,,,,,,,
3515,Kinsley,Flowers,09-Mar-22,10-Dec-22,Area Sales Manager,Mary Reilly,CCDR,Future Start,Part-Time,Zone A,Part-Time,Sales,Finance & Accounting,Controller,Male,,,,,,,
3516,Deborah,Love,07-Apr-22,22-Jan-23,Area Sales Manager,Eric Goodman,SVG,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,Coordinator,Male,,,,,,,
3517,Milagros,Francis,19-Feb-20,,Area Sales Manager,Caleb Schneider,EW,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,Splicer,Male,,,,,,,
3518,Roberto,Michael,10-Apr-21,04-Jul-22,Area Sales Manager,Cheryl Henry,MSC,Active,Contract,Zone B,Part-Time,Sales,General - Eng,Coordinator,Female,,,,,,,
3519,Elaine,Ewing,19-Dec-21,02-Mar-22,Area Sales Manager,Dan Hernandez,TNS,Active,Part-Time,Zone C,Temporary,Sales,Aerial,Groundman,Male,,,,,,,
3520,Caiden,Munoz,13-Dec-20,13-Jan-23,Area Sales Manager,Teresa Daniel,TNS,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,Manager,Female,,,,,,,
3521,Jocelyn,Bradford,26-Feb-19,,Area Sales Manager,Melissa Decker,WBL,Active,Contract,Zone C,Part-Time,Sales,General - Con,Electrician,Female,,,,,,,
3522,Marques,Armstrong,02-Mar-20,,Area Sales Manager,Michael Nguyen,BPC,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,Splicer,Female,,,,,,,
3523,Rohan,Chapman,25-Jun-21,25-Aug-22,Area Sales Manager,Tony Mcconnell,CCDR,Active,Full-Time,Zone A,Temporary,Sales,General - Con,Laborer,Female,,,,,,,
3524,Emmanuel,Franklin,26-Jul-21,04-May-22,Area Sales Manager,Adam Gibson,EW,Future Start,Contract,Zone B,Full-Time,Sales,Field Operations,Laborer,Male,,,,,,,
3525,Clayton,Mccormick,03-Jul-22,10-Jan-23,Area Sales Manager,Stephanie Duke,MSC,Future Start,Contract,Zone B,Temporary,Sales,General - Con,Foreman,Male,,,,,,,
3526,Darius,Krause,15-Sep-22,,Area Sales Manager,Paige Flores MD,NEL,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Foreman,Male,,,,,,,
3527,Ahmed,Hawkins,01-May-20,25-Feb-21,Area Sales Manager,Hannah Snyder,PL,Active,Full-Time,Zone B,Temporary,Sales,Aerial,Lineman,Male,,,,,,,
3528,Kymani,Benjamin,13-Oct-22,,Area Sales Manager,William Ayala,PYZ,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,Accounting,Male,,,,,,,
3529,Callum,Mcdaniel,03-Jan-20,24-Aug-20,Area Sales Manager,Samuel Moore,SVG,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,Top Hand,Male,,,,,,,
3530,Zariah,Black,13-Nov-19,,Area Sales Manager,Jenna Weaver,TNS,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,Tower Hand,Female,,,,,,,
3531,Ronnie,Mayer,17-Jun-23,,Area Sales Manager,Dylan Blake,WBL,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,Project Manager,Male,,,,,,,
3532,Marlon,Ford,14-Oct-21,,Area Sales Manager,Monique Anderson,EW,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,Technician,Female,,,,,,,
3533,Slade,Griffith,01-Jun-21,16-Jul-23,Area Sales Manager,Kelsey Gibson,MSC,Active,Contract,Zone B,Full-Time,Sales,General - Sga,Administrator,Male,,,,,,,
3534,Lee,Frye,14-Sep-18,,Area Sales Manager,Sonia Diaz,TNS,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,Engineer,Female,,,,,,,
3535,Veronica,Rowe,11-Dec-18,02-Jun-22,Area Sales Manager,Brian Morton,PYZ,Active,Full-Time,Zone A,Temporary,Sales,Fielders,Engineer,Female,,,,,,,
3536,Aylin,Berg,06-Aug-22,,Area Sales Manager,Thomas Holmes,WBL,Active,Contract,Zone C,Temporary,Sales,General - Sga,Administrative,Female,,,,,,,
3537,Neveah,Rowe,28-May-22,24-Feb-23,Area Sales Manager,Dawn Perez,NEL,Future Start,Contract,Zone C,Part-Time,Sales,Field Operations,Foreman,Male,,,,,,,
3538,Keith,Baxter,16-Jun-19,05-Mar-22,Area Sales Manager,Diane Parker,PL,Future Start,Part-Time,Zone C,Part-Time,Sales,Fielders,Engineer,Male,,,,,,,
3539,Chaz,Bruce,08-Dec-19,,Area Sales Manager,John Johnson,BPC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Foreman,Male,,,,,,,
3540,Maya,Mccann,12-Mar-20,09-Oct-22,Area Sales Manager,Dakota Robinson,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,Supervisor,Male,,,,,,,
3541,Aaron,Weber,06-Apr-20,24-Jul-23,Area Sales Manager,Melanie Garcia,SVG,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Technician,Male,,,,,,,
3542,Ellie,Gill,15-Apr-23,,Area Sales Manager,Amanda Knight,EW,Active,Contract,Zone A,Temporary,Sales,Field Operations,Manager,Male,,,,,,,
3543,Rayne,Kerr,10-Nov-20,,Area Sales Manager,Kimberly Cardenas,MSC,Active,Part-Time,Zone A,Temporary,Sales,General - Con,Laborer,Female,,,,,,,
3544,Samara,Mcbride,29-Jun-23,09-Jul-23,Area Sales Manager,Laura Salinas,TNS,Active,Contract,Zone A,Temporary,Sales,Aerial,Foreman,Male,,,,,,,
3545,Ryann,Rubio,07-Mar-22,,Area Sales Manager,Andres Jones,EW,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,Locator,Female,,,,,,,
3546,Paris,Carr,31-Jul-21,27-Jan-23,Area Sales Manager,Jeffrey Huffman,CCDR,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,Foreman,Male,,,,,,,
3547,Adriel,Wiggins,20-Jan-22,,Area Sales Manager,Sara Edwards,BPC,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,Supervisor,Female,,,,,,,
3548,Sanaa,Glass,11-Jul-21,10-Oct-22,Area Sales Manager,Stephen Garcia,WBL,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Technician,Female,,,,,,,
3549,Ryan,Lynch,15-Oct-18,18-Oct-20,Area Sales Manager,Tracy Castro MD,TNS,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,Technician,Female,,,,,,,
3550,Charlie,Atkinson,26-Nov-21,14-Oct-22,Area Sales Manager,Jennifer Hicks,SVG,Future Start,Part-Time,Zone C,Temporary,Sales,Wireline Construction,Billing,Male,,,,,,,
3551,Emery,Roach,11-Aug-18,,Area Sales Manager,Victoria Bailey,PYZ,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,Engineer,Male,,,,,,,
3552,Harper,Ramos,16-Feb-20,03-Jun-20,Area Sales Manager,Maria Chan,PL,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Foreman,Male,,,,,,,
3553,Khalil,Mendez,20-Jan-20,,Area Sales Manager,Regina Martinez,NEL,Active,Contract,Zone C,Temporary,Sales,Field Operations,Foreman,Male,,,,,,,
3554,Lizeth,Holland,31-Mar-19,,Area Sales Manager,Tonya Martin,MSC,Active,Part-Time,Zone C,Temporary,Sales,People Services,Cpo,Male,,,,,,,
3555,Matilda,Randall,06-Jan-23,07-May-23,Area Sales Manager,Daniel Wolf,EW,Active,Full-Time,Zone C,Temporary,Sales,General - Eng,Drafter,Female,,,,,,,
3556,Damien,Howe,18-Jul-19,15-Jan-20,Area Sales Manager,Sarah Petersen,CCDR,Active,Full-Time,Zone B,Temporary,Sales,Wireline Construction,Vp,Male,,,,,,,
3557,Nicholas,Obrien,13-Feb-19,,Area Sales Manager,Victoria Christian DDS,BPC,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Operator,Male,,,,,,,
3558,Mildred,Gentry,30-Dec-18,,Production Technician I,Erin Moore,MSC,Active,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),Manager,Female,,,,,,,
3559,Wilson K,Adinolfi,06-Nov-19,06-Sep-20,Production Technician I,Andrea Gutierrez,NEL,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Assistant,Male,,,,,,,
3560,Joanne,Handschiegl,01-Jun-22,,Production Technician I,Wanda Ross DDS,MSC,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,Technician,Female,,,,,,,
3561,Dianna,Blount,28-Mar-23,,Production Technician II,Steven King,BPC,Active,Part-Time,Zone C,Temporary,Production       ,General - Con,Technician,Female,,,,,,,
3562,Jean,Crimmings,21-May-19,05-Jan-23,Production Technician I,Stephen Rodriguez,CCDR,Future Start,Contract,Zone B,Full-Time,Production       ,Shop (Fleet),Manager,Female,,,,,,,
3563,Nore,Sadki,01-Jan-19,,Production Technician I,Patricia Carter,WBL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,Driver,Male,,,,,,,
3564,Susan,Lundy,26-Jan-19,02-Dec-20,Production Technician II,Diana Johnson,SVG,Voluntarily Terminated,Full-Time,Zone C,Temporary,Production       ,Aerial,Lineman,Female,,,,,,,
3565,Kramer,Keatts,11-Sep-21,,Production Technician I,Diana Good,WBL,Active,Part-Time,Zone B,Full-Time,Production       ,General - Con,Lineman,Male,,,,,,,
3566,Maliki,Moumanil,26-Sep-21,,Production Technician II,Desiree Stephens,PL,Active,Part-Time,Zone A,Part-Time,Production       ,Aerial,Lineman,Male,,,,,,,
3567,Nader,Barton,04-Mar-23,,Production Technician I,Debra Garcia,EW,Active,Full-Time,Zone C,Full-Time,Production       ,General - Sga,Technician,Male,,,,,,,
3568,Quinn,Rarrick,11-Jul-23,29-Jul-23,Production Technician I,Susan Brown,EW,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Production       ,Field Operations,Foreman,Male,,,,,,,
3569,Beatrice,Chace,09-Feb-19,28-Aug-20,Production Technician I,Margaret Hampton,MSC,Active,Part-Time,Zone B,Temporary,Production       ,Catv,Supervisor,Female,,,,,,,
3570,Adrienne J,Homberger,19-Apr-19,26-Oct-21,Production Technician II,Brandon Miller,TNS,Voluntarily Terminated,Full-Time,Zone B,Temporary,Production       ,Fielders,Engineer,Female,,,,,,,
3571,Marilyn,Linares,07-Jul-22,17-Jul-23,Production Technician I,Dr. Matthew Schmitt,NEL,Voluntarily Terminated,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Engineer,Female,,,,,,,
3572,Timothy,Sullivan,12-Mar-19,19-May-20,Production Technician I,Shawn Berry,WBL,Active,Contract,Zone A,Part-Time,Production       ,Fielders,Engineer,Male,,,,,,,
3573,Jennifer,Medeiros,09-Mar-20,17-Oct-21,Production Technician I,Brittany Martin,NEL,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,Driller,Female,,,,,,,
3574,Anna,Von Massenbach,18-May-21,04-Jan-22,Production Technician I,Timothy Weaver,WBL,Future Start,Contract,Zone B,Full-Time,Production       ,Underground,Laborer,Female,,,,,,,
3575,George,Johnson,28-Apr-21,18-Jan-22,Production Technician I,Amanda Smith,MSC,Voluntarily Terminated,Part-Time,Zone A,Temporary,Production       ,Field Operations,Groundman,Male,,,,,,,
3576,Angela,Erilus,21-Jul-21,26-Apr-23,Production Technician II,Marc Cummings,PL,Active,Full-Time,Zone B,Full-Time,Production       ,Engineers,Project Manager,Female,,,,,,,
3577,Miguel,Estremera,15-Sep-19,,Production Technician I,James Rodriguez,BPC,Active,Part-Time,Zone C,Temporary,Production       ,Field Operations,Tower Hand,Male,,,,,,,
